HS4,direction,mass,year
7317,import,39576163.0,1999
7317,import,51823801.0,2000
7317,import,39347921.0,2001
7317,import,45189163.0,2002
7317,import,55127863.0,2003
7317,import,61674973.0,2004
7317,import,58454491.0,2005
7317,import,63480980.0,2006
7317,import,67451028.0,2007
7317,import,59014299.0,2008
7317,import,40035445.0,2009
7317,import,51181400.0,2010
7317,import,47018948.0,2011
7317,import,45364388.0,2012
7317,import,46848314.0,2013
7317,import,52111925.0,2014
7317,import,45057559.0,2015
7317,import,46802223.0,2016
7317,import,45222934.0,2017
7318,export,47221225.0,1996
7318,export,50139927.0,1997
7318,export,47302355.0,1998
7318,export,51634094.0,1999
7318,export,40597203.0,2000
7318,export,38634235.0,2001
7318,export,37963234.0,2002
7318,export,40729863.0,2003
7318,export,47208252.0,2004
7318,export,49103300.0,2005
7318,export,52809878.0,2006
7318,export,56037771.0,2007
7318,export,53145844.0,2008
7318,export,41934995.0,2009
7318,export,49206732.0,2010
7318,export,67036117.0,2011
7318,export,61222547.0,2012
7318,export,62939492.0,2013
7318,export,64909138.0,2014
7318,export,58954463.0,2015
7318,export,60783242.0,2016
7318,export,76483483.0,2017
7318,import,142775610.0,1996
7318,import,163651205.0,1997
7318,import,227840529.0,1998
7318,import,169225452.0,1999
7318,import,249252986.0,2000
7318,import,276101849.0,2001
7318,import,269605593.0,2002
7318,import,250260436.0,2003
7318,import,273922190.0,2004
7318,import,272053541.0,2005
7318,import,341085075.0,2006
7318,import,361656981.0,2007
7318,import,309615709.0,2008
7318,import,176487369.0,2009
7318,import,233031426.0,2010
7318,import,265981012.0,2011
7318,import,256181474.0,2012
7318,import,280216747.0,2013
7318,import,283965872.0,2014
7318,import,275670160.0,2015
7318,import,287158616.0,2016
7318,import,291279037.0,2017
7319,export,976202.0,1996
7319,export,1254548.0,1997
7319,export,1282459.0,1998
7319,export,1146598.0,1999
7319,export,972466.0,2000
7319,export,722037.0,2001
7319,export,320825.0,2002
7319,export,438929.0,2003
7319,export,293188.0,2004
